Date/Time (EDT),(hr),Supply1,Supply2,Return1,Return2,(W),(W).1,(gpm),(Btu/hr-ft)
2019-09-10 17:32:50,,,,57.94482,57.85304,,,20.09505,
2019-09-10 17:33:00,,,,57.92953,57.83775,,,19.9378,
2019-09-10 17:33:10,,,,57.91423,57.83775,,,20.15402,
2019-09-10 17:33:20,,,,57.91423,57.82244,,,19.87883,
2019-09-10 17:33:30,,,,57.91423,57.82244,,,20.05574,
2019-09-10 17:33:40,,,,57.97728,57.8702,,,19.97712,
2019-09-10 17:33:50,,,,57.96198,57.8702,,,20.0754,
2019-09-10 17:34:00,,,,57.96198,57.8549,,,20.03608,
2019-09-10 17:34:10,,,,57.96198,57.8549,,,20.11471,
2019-09-10 17:34:20,,,,57.93139,57.83961,,,19.95746,
2019-09-10 17:34:30,,,,57.93138,57.8396,,,20.01643,
2019-09-10 17:34:40,,,,57.99445,57.90267,,,20.03608,
2019-09-10 17:34:50,,,,57.99445,57.88738,,,20.11471,
2019-09-10 17:35:00,,,,57.97916,57.88738,,,19.99677,
2019-09-10 17:35:10,,,,57.97916,57.88738,,,20.11471,
2019-09-10 17:35:20,,,,57.96386,57.87209,,,20.09505,
2019-09-10 17:35:30,,,,57.96386,57.87209,,,20.13437,
2019-09-10 17:35:40,,,,57.94857,57.85678,,,19.9378,
2019-09-10 17:35:50,,,,57.94857,57.85678,,,19.89849,
2019-09-10 17:36:00,,,,57.94857,57.85678,,,19.99677,
2019-09-10 17:36:10,,,,57.93327,57.84148,,,20.11471,
2019-09-10 17:36:20,,,,57.93327,57.82619,,,20.0754,
2019-09-10 17:36:30,,,,57.98104,57.88926,,,20.05574,
2019-09-10 17:36:40,,,,57.98104,57.88926,,,20.13437,
2019-09-10 17:36:50,,,,57.96574,57.88926,,,20.01643,
2019-09-10 17:37:00,,,,57.96574,57.87396,,,20.01643,
2019-09-10 17:37:10,,,,57.96574,57.85867,,,19.9378,
2019-09-10 17:37:20,,,,57.95045,57.85867,,,20.09505,
2019-09-10 17:37:30,,,,57.95045,57.85867,,,19.9378,
2019-09-10 17:37:40,,,,58.00243,57.92595,,,20.0754,
2019-09-10 17:37:50,,,,58.00243,57.91066,,,19.91814,
2019-09-10 17:38:00,,,,58.00243,57.89536,,,20.05574,
2019-09-10 17:38:10,,,,57.98714,57.89536,,,20.13437,
2019-09-10 17:38:20,,,,57.98714,57.89536,,,20.11471,
2019-09-10 17:38:30,,,,57.98713,57.89536,,,20.05574,
2019-09-10 17:38:40,,,,57.97184,57.88005,,,20.01643,
2019-09-10 17:38:50,,,,57.97184,57.86476,,,20.15402,
2019-09-10 17:39:00,,,,57.95654,57.86476,,,19.85918,
2019-09-10 17:39:10,,,,57.95654,57.86476,,,20.23265,
2019-09-10 17:39:20,,,,57.95654,57.86476,,,20.21299,
2019-09-10 17:39:30,,,,57.94124,57.84946,,,19.95746,
2019-09-10 17:39:40,,,,57.94124,57.84946,,,20.11471,
2019-09-10 17:39:50,,,,58.00432,57.91254,,,20.09505,
2019-09-10 17:40:00,,,,58.00432,57.89725,,,20.25231,
2019-09-10 17:40:10,,,,57.98903,57.89725,,,19.85918,
2019-09-10 17:40:20,,,,57.97372,57.89724,,,19.99677,
2019-09-10 17:40:30,,,,57.97372,57.86665,,,20.01643,
2019-09-10 17:40:40,,,,57.97372,57.86665,,,19.97712,
2019-09-10 17:40:50,0.0,58.53731,58.55251,58.03681,57.92974,404.1626452963,831.5879966030001,20.03608,3.1474753289569484
